memberId,birthDay,Country,nameFirst,nameLast,weight,height
tigerwoods,1975-12-30,USA,Tiger,Woods,185,73
rorymcIlroy,1989-05-04,NI,Rory,McIlroy,161,69
webbsimpson,1985-08-08,USA,Webb,Simpson,175,74
